nom,date_naissance,num_deptmt,num_circo,groupe_sigle,place_en_hemicycle,nb_mandats,mandat
Béatrice Pavy,1958-10-14,72,3,union pour un mouvement populaire,219.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Paul Anciaux,1946-07-17,71,3,union pour un mouvement populaire,195.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jacqueline Maquet,1949-05-13,62,1,parti socialiste,511.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Damien Meslot,1964-11-11,90,1,union pour un mouvement populaire,217.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Marie Le Guen,1953-01-03,75,9,parti socialiste,433.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Daniel Goldberg,1965-08-24,93,3,parti socialiste,407.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Sylvia Bassot,1940-12-18,61,3,union pour un mouvement populaire,22.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Françoise Branget,1953-08-08,25,1,union pour un mouvement populaire,8.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marc Goua,1940-03-03,49,2,parti socialiste,406.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Charles de La Verpillière,1954-05-31,01,2,union pour un mouvement populaire,40.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Didier Quentin,1946-12-23,17,5,union pour un mouvement populaire,267.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Dominique Perben,1945-08-11,69,4,union pour un mouvement populaire,83.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Éric Raoult,1955-06-19,93,12,union pour un mouvement populaire,268.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Yves Cousin,1949-02-23,14,6,union pour un mouvement populaire,174.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Thierry Mariani,1958-08-08,84,4,union pour un mouvement populaire,93.0,2,"[2007, 2008, 2009, 2010]"
Gaëtan Gorce,1958-12-02,58,2,parti socialiste,423.0,2,"[2007, 2008, 2009, 2010, 2011]"
Françoise Olivier-Coupeau,1959-07-03,56,5,parti socialiste,494.0,1,"[2007, 2008, 2009, 2010, 2011]"
Philippe Morenvillier,1965-12-06,54,5,union pour un mouvement populaire,156.0,2,"[2008, 2009, 2010, 2011, 2012]"
Alain Marleix,1946-01-02,15,2,union pour un mouvement populaire,3.0,2,"[2010, 2011, 2012]"
Yvan Lachaud,1954-03-04,30,1,nouveau centre,364.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Jack Queyranne,1945-11-02,69,7,parti socialiste,504.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Claude Bouchet,1957-05-02,84,2,union pour un mouvement populaire,24.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Patrick Lebreton,1963-09-06,974,4,parti socialiste,574.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Odette Duriez,1948-05-07,62,11,parti socialiste,511.0,4,"[2007, 2008, 2009, 2010, 2011]"
Jean-Louis Dumont,1944-04-06,55,2,parti socialiste,557.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bernard Carayon,1957-10-01,81,4,union pour un mouvement populaire,348.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Catherine Vautrin,1960-07-26,51,2,union pour un mouvement populaire,82.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Françoise Briand,1951-04-20,91,7,union pour un mouvement populaire,351.0,1,"[2008, 2009, 2010, 2011, 2012]"
Michel Vergnier,1946-11-25,23,1,parti socialiste,522.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Manuel Aeschlimann,1964-10-22,92,2,union pour un mouvement populaire,204.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Pierre Door,1942-04-01,45,4,union pour un mouvement populaire,183.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marie-Josée Roig,1938-05-12,84,1,union pour un mouvement populaire,173.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Delphine Batho,1973-03-23,79,2,parti socialiste,373.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Franck Marlin,1964-09-30,91,2,union pour un mouvement populaire,18.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Gosselin,1966-10-23,50,1,union pour un mouvement populaire,150.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Olivier Carré,1961-03-16,45,1,union pour un mouvement populaire,63.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jérôme Lambert,1957-06-07,16,3,parti socialiste,496.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Claude Thomas,1950-03-16,51,3,union pour un mouvement populaire,330.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marie-George Buffet,1949-05-07,93,4,democratie et republique,593.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Louis Gagnaire,1956-04-29,42,2,parti socialiste,393.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Gisèle Biémouret,1952-06-16,32,2,parti socialiste,637.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pierre Cardo,1949-08-28,78,7,union pour un mouvement populaire,169.0,3,"[2007, 2008, 2009, 2010]"
Arnaud Richard,1971-04-30,78,7,union pour un mouvement populaire,280.0,2,"[2010, 2011, 2012]"
Marie-Christine Dalloz,1958-01-10,39,2,union pour un mouvement populaire,39.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
André Vallini,1956-07-15,38,9,parti socialiste,498.0,2,"[2007, 2008, 2009, 2010, 2011]"
Pierre Méhaignerie,1939-05-04,35,5,union pour un mouvement populaire,186.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Patrick Roy,1957-08-30,59,19,parti socialiste,550.0,2,"[2007, 2008, 2009, 2010, 2011]"
Tony Dreyfus,1939-01-09,75,5,parti socialiste,420.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Christophe Priou,1958-05-02,44,7,union pour un mouvement populaire,304.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Frédéric Cuvillier,1968-12-09,62,5,parti socialiste,371.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Claude Bartolone,1951-07-29,93,6,parti socialiste,525.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marisol Touraine,1959-03-07,37,3,parti socialiste,432.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Liebgott,1958-02-15,57,10,parti socialiste,551.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Patrice Debray,1951-01-25,70,1,union pour un mouvement populaire,359.0,2,"[2008, 2009, 2010]"
Maurice Leroy,1959-02-02,41,3,nouveau centre,377.0,2,"[2007, 2008, 2009, 2010]"
Claude Leteurtre,1940-12-30,14,3,nouveau centre,401.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Serge Letchimy,1953-01-13,972,3,parti socialiste,409.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Henri Jibrayel,1951-09-18,13,4,parti socialiste,394.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Henri Emmanuelli,1945-05-31,40,3,parti socialiste,501.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Valérie Boyer,1962-06-11,13,8,union pour un mouvement populaire,223.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Daniel Mach,1955-12-04,66,1,union pour un mouvement populaire,147.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
André Wojciechowski,1956-04-17,57,7,union pour un mouvement populaire,297.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Julien Dray,1955-03-05,91,10,parti socialiste,416.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jérôme Bignon,1949-01-01,80,3,union pour un mouvement populaire,106.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Paul Lecoq,1958-10-13,76,6,democratie et republique,577.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean Mallot,1952-08-20,03,3,parti socialiste,488.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Lionnel Luca,1954-12-19,06,6,union pour un mouvement populaire,276.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean Leonetti,1948-07-09,06,7,union pour un mouvement populaire,181.0,2,"[2007, 2008, 2009, 2010, 2011]"
Maryse Joissains-Masini,1942-08-15,13,14,union pour un mouvement populaire,295.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marie-Françoise Clergeau,1948-05-02,44,2,parti socialiste,413.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Martial Saddier,1969-10-15,74,3,union pour un mouvement populaire,231.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bérengère Poletti,1959-10-14,08,1,union pour un mouvement populaire,92.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pascal Terrasse,1964-10-26,07,1,parti socialiste,414.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Pierre Soisson,1934-11-09,89,1,union pour un mouvement populaire,189.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Jacques Guillet,1946-10-16,92,8,union pour un mouvement populaire,165.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marcel Bonnot,1946-05-24,25,3,union pour un mouvement populaire,228.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Valérie Fourneyron,1959-10-04,76,1,parti socialiste,636.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean Gaubert,1947-03-03,22,2,parti socialiste,471.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pierre Lequiller,1949-12-04,78,4,union pour un mouvement populaire,254.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Arnaud Robinet,1975-04-30,51,1,union pour un mouvement populaire,235.0,2,"[2008, 2009, 2010, 2011, 2012]"
Christian Eckert,1956-02-08,54,7,parti socialiste,648.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bernard Derosier,1939-11-10,59,2,parti socialiste,528.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Serge Poignant,1947-11-01,44,10,union pour un mouvement populaire,262.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Houillon,1951-12-15,95,1,union pour un mouvement populaire,337.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Philippe Maurer,1960-07-07,67,2,union pour un mouvement populaire,303.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Dominique Orliac,1952-03-15,46,1,parti socialiste,630.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Christian Ménard,1946-04-07,29,6,union pour un mouvement populaire,51.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Geneviève Colot,1950-06-22,91,3,union pour un mouvement populaire,210.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Conchita Lacuey,1943-09-30,33,4,parti socialiste,531.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Charles Taugourdeau,1953-07-17,49,3,union pour un mouvement populaire,350.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Marc-Philippe Daubresse,1953-08-01,59,4,union pour un mouvement populaire,26.0,2,"[2010, 2011, 2012]"
Jean-Michel Fourgous,1953-09-30,78,11,union pour un mouvement populaire,343.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Armand Martin,1949-04-28,51,6,union pour un mouvement populaire,11.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Martine Aurillac,1939-04-28,75,3,union pour un mouvement populaire,182.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Guy Malherbe,1946-04-09,91,4,union pour un mouvement populaire,122.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
François Rochebloine,1945-10-31,42,3,nouveau centre,375.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Christian Estrosi,1955-07-01,06,5,union pour un mouvement populaire,7.0,3,"[2010, 2011, 2012]"
François Calvet,1953-04-01,66,3,union pour un mouvement populaire,146.0,3,"[2007, 2008, 2009, 2010, 2011]"
Antoine Herth,1963-02-14,67,5,union pour un mouvement populaire,163.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
André Flajolet,1946-12-06,62,9,union pour un mouvement populaire,136.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
René Dosière,1941-08-03,02,1,parti socialiste,554.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Éric Woerth,1956-01-29,60,4,union pour un mouvement populaire,180.0,3,"[2010, 2011, 2012]"
Annick Girardin,1964-08-03,975,1,parti socialiste,621.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Cécile Gallez,1936-05-16,59,21,union pour un mouvement populaire,3.0,2,"[2007, 2008, 2009, 2010]"
Olivier Dosne,1961-01-20,94,7,union pour un mouvement populaire,17.0,2,"[2010, 2011, 2012]"
Joël Regnault,1949-11-05,78,12,union pour un mouvement populaire,64.0,2,"[2011, 2012]"
Geneviève Fioraso,1954-10-10,38,1,parti socialiste,568.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Lucien Degauchy,1937-06-11,60,5,union pour un mouvement populaire,52.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean Auclair,1946-05-03,23,2,union pour un mouvement populaire,60.0,4,"[2007, 2008, 2009, 2010, 2011, 2012]"
Raymond Durand,1945-10-01,69,11,nouveau centre,392.0,3,"[2008, 2009, 2010, 2011, 2012]"
Aurélie Filippetti,1973-06-17,57,8,parti socialiste,546.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Françoise Guégot,1962-08-11,76,2,union pour un mouvement populaire,153.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
François Baroin,1965-06-21,10,3,union pour un mouvement populaire,174.0,3,"[2007, 2008, 2009, 2010]"
Jean-Jacques Urvoas,1959-09-19,29,1,parti socialiste,486.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Pierre Morange,1956-09-08,78,6,union pour un mouvement populaire,332.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Louis Bianco,1943-01-12,04,1,parti socialiste,415.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Françaix,1943-05-28,60,3,parti socialiste,457.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Dominique Caillaud,1946-05-20,85,2,union pour un mouvement populaire,284.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Lezeau,1942-12-20,37,4,union pour un mouvement populaire,59.0,1,"[2007, 2008, 2009, 2010]"
Jacqueline Fraysse,1947-02-25,92,4,democratie et republique,590.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bruno Bourg-Broc,1945-02-25,51,4,union pour un mouvement populaire,298.0,3,"[2009, 2010, 2011, 2012]"
Jean-Michel Couve,1940-01-03,83,4,union pour un mouvement populaire,171.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Christophe Cambadélis,1951-08-14,75,20,parti socialiste,431.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Sapin,1952-04-09,36,1,parti socialiste,506.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Régis Juanico,1972-02-05,42,1,parti socialiste,564.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Alain Néri,1942-05-01,63,2,parti socialiste,522.0,3,"[2007, 2008, 2009, 2010, 2011]"
Marc Le Fur,1956-11-28,22,3,union pour un mouvement populaire,54.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Gilles d'Ettore,1968-05-23,34,7,union pour un mouvement populaire,124.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Marie Morisset,1947-08-18,79,3,union pour un mouvement populaire,243.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Bruno Sandras,1961-08-04,987,2,union pour un mouvement populaire,323.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Catherine Lemorton,1961-06-20,31,1,parti socialiste,572.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Étienne Pinte,1939-03-19,78,1,union pour un mouvement populaire,329.0,1,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Vauzelle,1944-08-15,13,16,parti socialiste,417.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Yves Le Déaut,1945-02-01,54,6,parti socialiste,447.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean Grenet,1939-07-12,64,5,union pour un mouvement populaire,311.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Daniel Boisserie,1946-06-08,87,2,parti socialiste,360.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Yves Vandewalle,1950-06-05,78,2,union pour un mouvement populaire,233.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Daniel Poulou,1943-07-28,64,6,union pour un mouvement populaire,85.0,1,"[2007, 2008, 2009, 2010, 2011]"
Pierre Lang,1947-06-13,57,6,union pour un mouvement populaire,9.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Patrick Devedjian,1944-08-26,92,13,union pour un mouvement populaire,192.0,2,"[2010, 2011, 2012]"
Gabriel Biancheri,1943-10-01,26,4,union pour un mouvement populaire,14.0,3,"[2007, 2008, 2009, 2010]"
Georges Ginesta,1942-07-08,83,5,union pour un mouvement populaire,313.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Michel Bouvard,1955-03-17,73,3,union pour un mouvement populaire,185.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Jean-Pierre Grand,1950-11-18,34,3,union pour un mouvement populaire,75.0,3,"[2007, 2008, 2009, 2010, 2011, 2012]"
Richard Dell'Agnola,1949-02-06,94,12,union pour un mouvement populaire,357.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Christophe Bouillon,1969-03-04,76,5,parti socialiste,634.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Claude Birraux,1946-01-19,74,4,union pour un mouvement populaire,270.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
Philippe Vitel,1955-02-22,83,2,union pour un mouvement populaire,327.0,2,"[2007, 2008, 2009, 2010, 2011, 2012]"
David Douillet,1969-02-17,78,12,union pour un mouvement populaire,64.0,2,"[2009, 2010, 2011]"
Marianne Dubois,1957-12-17,45,5,union pour un mouvement populaire,132.0,2,"[2009, 2010, 2011, 2012]"
Fernand Siré,1945-03-31,66,2,union pour un mouvement populaire,145.0,3,"[2010, 2011, 2012]"
Jacques Houssin,1964-02-16,59,4,union pour un mouvement populaire,20.0,4,[2010]
Pascal Brindeau,1974-06-20,41,3,nouveau centre,403.0,1,"[2010, 2011, 2012]"
Françoise De Salvador,1952-07-18,91,9,union pour un mouvement populaire,370.0,1,"[2010, 2011]"
Gérard Menuel,1952-05-07,10,3,union pour un mouvement populaire,14.0,4,"[2010, 2011, 2012]"
Jacqueline Farreyrol,1939-02-25,974,3,union pour un mouvement populaire,242.0,2,"[2010, 2011]"
Marie-Claude Marchand,1954-07-22,59,19,parti socialiste,550.0,1,"[2011, 2012]"
Paul Salen,1949-06-17,42,7,union pour un mouvement populaire,56.0,1,"[2011, 2012]"
Raymond Lancelin,1944-03-15,37,2,union pour un mouvement populaire,359.0,1,"[2011, 2012]"
Joseph Bossé,1946-02-14,49,7,union pour un mouvement populaire,155.0,1,"[2011, 2012]"
Michel Rossi,1953-01-05,06,7,union pour un mouvement populaire,319.0,4,"[2011, 2012]"
Jean-François Lamour,1956-02-02,75,13,les republicains,80.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Michel Clément,1954-10-31,86,3,parti socialiste,263.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Bernard Reynès,1953-10-18,13,15,les republicains,190.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Marc Laffineur,1945-08-10,49,7,les republicains,183.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Charles de Courson,1952-04-02,51,5,union des democrates et independants,295.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Christian Paul,1960-03-23,58,2,parti socialiste,336.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Pierre Dufau,1943-07-05,40,2,parti socialiste,500.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Hervé Féron,1956-08-03,54,2,parti socialiste,524.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Louis Touraine,1945-10-08,69,3,parti socialiste,518.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Paul Giacobbi,1957-06-04,2B,2,parti radical de gauche,269.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Marc Le Fur,1956-11-28,22,3,les republicains,96.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-René Marsac,1954-04-21,35,4,parti socialiste,527.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean Leonetti,1948-07-09,06,7,les republicains,81.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Valérie Fourneyron,1959-10-04,76,1,parti socialiste,335.0,2,"[2014, 2015, 2016, 2017]"
François de Rugy,1973-12-06,44,1,parti socialiste,274.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jérôme Chartier,1966-11-14,95,7,les republicains,85.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Renaud Gauquelin,1954-11-07,69,7,parti socialiste,541.0,2,"[2016, 2017]"
Francis Hillmeyer,1946-09-09,68,6,union des democrates et independants,234.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Patrick Lemasle,1952-05-18,31,7,parti socialiste,540.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jérôme Lambert,1957-06-07,16,3,parti radical de gauche,300.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Patrice Verchère,1973-12-29,69,8,les republicains,143.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Hervé Gaymard,1960-05-31,73,2,les republicains,170.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Paul Salen,1949-06-17,42,6,les republicains,241.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Thierry Lazaro,1960-09-27,59,6,les republicains,89.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Pascale Got,1961-04-01,33,5,parti socialiste,523.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Françoise Guégot,1962-08-11,76,2,les republicains,91.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Claude Perez,1964-03-31,11,1,parti socialiste,412.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Thierry Mariani,1958-08-08,999,11,les republicains,7.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Franck Reynier,1965-10-20,26,2,union des democrates et independants,211.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Annick Lepetit,1958-03-31,75,3,parti socialiste,372.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
François Scellier,1936-05-07,95,6,les republicains,6.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Gérard Cherpion,1948-03-15,88,2,les republicains,114.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jacqueline Fraysse,1947-02-25,92,4,democratie et republique,590.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Maurice Leroy,1959-02-02,41,3,union des democrates et independants,200.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Francis Vercamer,1958-05-10,59,7,union des democrates et independants,191.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
François Cornut-Gentille,1958-05-22,52,2,les republicains,94.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Denis Jacquat,1944-05-29,57,2,les republicains,135.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
René Dosière,1941-08-03,02,1,parti socialiste,461.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Martine Carrillon-Couvreur,1948-03-21,58,1,parti socialiste,415.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Josette Pons,1947-12-12,83,6,les republicains,109.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Michel Voisin,1944-10-06,01,4,les republicains,28.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Pascal Terrasse,1964-10-26,07,1,parti socialiste,333.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Bruno Le Roux,1965-05-02,93,1,parti socialiste,454.0,1,[2017]
Jean-Claude Mignon,1950-02-02,77,1,les republicains,27.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Alain Rousset,1951-02-16,33,7,parti socialiste,339.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Marc-Philippe Daubresse,1953-08-01,59,4,les republicains,26.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Éric Ciotti,1965-09-28,06,1,les republicains,196.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Victorin Lurel,1951-08-20,971,4,parti socialiste,256.0,2,"[2014, 2015, 2016, 2017]"
Christian Bataille,1946-05-13,59,12,parti socialiste,354.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Marcel Rogemont,1948-01-03,35,8,parti socialiste,528.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Françoise Imbert,1947-09-16,31,5,parti socialiste,532.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Monique Iborra,1945-03-08,31,6,parti socialiste,370.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Claude Goasguen,1945-03-12,75,14,les republicains,172.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Daniel Fasquelle,1963-01-16,62,4,les republicains,62.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Marie-Louise Fort,1950-12-03,89,3,les republicains,87.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
François Fillon,1954-03-04,75,2,les republicains,168.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Thierry Benoit,1966-09-13,35,6,union des democrates et independants,245.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Marc Dolez,1952-10-21,59,17,democratie et republique,583.0,1,"[2012, 2013, 2014, 2015, 2016, 2017]"
Philippe Vigier,1958-02-03,28,4,union des democrates et independants,294.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Claude Bouchet,1957-05-02,84,2,les republicains,24.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Marie-Odile Bouillé,1950-10-13,44,8,parti socialiste,332.0,3,"[2012, 2013, 2014, 2015, 2016, 2017]"
Jean-Pierre Gorges,1953-08-03,28,1,les republicains,204.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Olivier Dussopt,1978-08-16,07,2,parti socialiste,267.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Marcel Bonnot,1946-05-24,25,3,les republicains,18.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
François Asensi,1945-06-01,93,11,democratie et republique,588.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
André Santini,1940-10-20,92,10,union des democrates et independants,220.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Pierre Lellouche,1951-05-03,75,1,les republicains,21.0,2,"[2012, 2013, 2014, 2015, 2016, 2017]"
Hervé Morin,1961-08-17,27,3,union des democrates et independants,304.0,4,"[2012, 2013, 2014, 2015, 2016]"
